蕾丝衫/雪纺衫,241.99,0,260,0,0,0,0,0,0,0,0,0,0
毛针织衫,224.92,1,184,21,114.13,21,0.54,0,0,0,0,0,0
裤子,272.06,2,305,77,252.46,38.5,0.66,0,0,0,0,0,0
毛针织衫,84.37,8,1852,342,184.67,42.75,0.43,0,0,0,0,0,0
裤子,153.78,5,397,144,362.72,28.8,1.26,0,0,0,0,0,0
中老年女装,115.57,1,2963,15,5.06,15,0.03,0,0,0,0,0,0
蕾丝衫/雪纺衫,252.07,0,233,0,0,0,0,0,0,0,0,0,0
毛针织衫,93.11,9,1891,381,201.48,42.33,0.48,0,0,0,0,0,0
连衣裙,154.34,1,1039,29,27.91,29,0.1,0,0,0,0,0,0
毛针织衫,133.15,2,462,65,140.69,32.5,0.43,0,0,0,0,0,0
毛针织衫,214.75,1,322,40,124.22,40,0.31,0,0,0,0,0,0
连衣裙,364.85,5,536,178,332.09,35.6,0.93,0,0,0,0,0,0
连衣裙,473.55,3,581,88,151.46,29.33,0.52,0,0,0,0,0,0
裤子,151.81,2,410,61,148.78,30.5,0.49,0,0,0,0,0,0
小背心/小吊带,164.58,2,665,53,79.7,26.5,0.3,0,0,0,0,0,0
中老年女装,273.14,1,774,12,15.5,12,0.13,0,0,0,0,0,0
T恤,115.82,9,1628,319,195.95,35.44,0.55,0,0,0,0,0,0
毛针织衫,104.43,2,628,40,63.69,20,0.32,0,0,0,0,0,0
裤子,276.15,0,194,0,0,0,0,0,0,0,0,0,0
裤子,216.53,2,295,54,183.05,27,0.68,0,0,0,0,0,0
裤子,154.13,3,840,106,126.19,35.33,0.36,0,0,0,0,0,0
连衣裙,312.49,0,182,0,0,0,0,0,0,0,0,0,0
连衣裙,44.45,2,603,12,19.9,6,0.33,0,0,0,0,0,0
连衣裙,286.4,0,186,0,0,0,0,0,0,0,0,0,0
连衣裙,48.18,0,28,0,0,0,0,0,0,0,0,0,0
连衣裙,292.25,0,114,0,0,0,0,0,0,0,0,0,0
连衣裙,326.24,0,84,0,0,0,0,0,0,0,0,0,0
连衣裙,328.69,0,173,0,0,0,0,0,0,0,0,0,0
连衣裙,218.5,6,587,52,88.59,8.67,1.02,0,0,0,0,0,0
连衣裙,208.32,2,326,16,49.08,8,0.61,0,0,0,0,0,0
连衣裙,447.6,0,60,0,0,0,0,0,0,0,0,0,0
连衣裙,230.31,0,96,0,0,0,0,0,0,0,0,0,0
衬衫,174.93,0,176,0,0,0,0,0,0,0,0,0,0
连衣裙,178.14,0,140,0,0,0,0,0,0,0,0,0,0
连衣裙,142.91,0,53,0,0,0,0,0,0,0,0,0,0
连衣裙,173.59,0,100,0,0,0,0,0,0,0,0,0,0
连衣裙,219.13,0,53,0,0,0,0,0,0,0,0,0,0
连衣裙,242.65,0,86,0,0,0,0,0,0,0,0,0,0
连衣裙,568.11,0,187,0,0,0,0,0,0,0,0,0,0
短外套,255.41,2,946,22,23.26,11,0.21,0,0,0,0,0,0
连衣裙,434.44,0,161,0,0,0,0,0,0,0,0,0,0
连衣裙,177.24,0,122,0,0,0,0,0,0,0,0,0,0
连衣裙,1040.6,0,139,0,0,0,0,0,0,0,0,0,0
衬衫,96.95,1,962,8,8.32,8,0.1,0,0,0,0,0,0
连衣裙,201.6,0,120,0,0,0,0,0,0,0,0,0,0
连衣裙,266.86,1,195,9,46.15,9,0.51,0,0,0,0,0,0
职业套装/学生校服/工作制服,262.71,0,386,0,0,0,0,0,0,0,0,0,0
职业套装/学生校服/工作制服,141.89,0,56,0,0,0,0,0,0,0,0,0,0
连衣裙,302.63,0,154,0,0,0,0,0,0,0,0,0,0
蕾丝衫/雪纺衫,307.08,4,746,53,71.05,13.25,0.54,0,0,0,0,0,0
连衣裙,894.45,0,684,0,0,0,0,0,0,0,0,0,0
裤子,353.93,0,105,0,0,0,0,0,0,0,0,0,0
连衣裙,330.55,0,115,0,0,0,0,0,0,0,0,0,0
连衣裙,136.06,2,224,23,102.68,11.5,0.89,0,0,0,0,0,0
连衣裙,214.29,0,28,0,0,0,0,0,0,0,0,0,0
连衣裙,583.71,0,51,0,0,0,0,0,0,0,0,0,0
连衣裙,425.14,0,28,0,0,0,0,0,0,0,0,0,0
T恤,342.82,2,647,23,35.55,11.5,0.31,0,0,0,0,0,0
连衣裙,396.34,2,158,39,246.84,19.5,1.27,0,0,0,0,0,0
连衣裙,300.83,0,115,0,0,0,0,0,0,0,0,0,0
风衣,150.83,0,417,0,0,0,0,0,0,0,0,0,0
连衣裙,285.03,0,67,0,0,0,0,0,0,0,0,0,0
职业套装/学生校服/工作制服,278.59,2,563,15,26.64,7.5,0.36,1,0,0,0,0,0
衬衫,564.32,2,764,15,19.63,7.5,0.26,0,0,0,0,0,0
职业套装/学生校服/工作制服,355.42,0,83,0,0,0,0,0,0,0,0,0,0
