毛针织衫,83.49,7,992,187,188.51,26.71,0.71,0,0,0,0,0,0
裤子,245.25,5,329,105,319.15,21,1.52,0,0,0,0,0,0
中老年女装,217.3,7,1133,199,175.64,28.43,0.62,0,0,0,0,0,0
蕾丝衫/雪纺衫,228.4,1,212,21,99.06,21,0.47,0,0,0,0,0,0
毛针织衫,80.48,5,2152,194,90.15,38.8,0.23,0,0,0,0,0,0
连衣裙,166.41,3,771,154,199.74,51.33,0.39,0,0,0,0,0,0
毛针织衫,85.45,3,951,112,117.77,37.33,0.32,0,0,0,0,0,0
毛针织衫,129.45,1,1052,41,38.97,41,0.1,0,0,0,0,0,0
连衣裙,171.72,8,966,222,229.81,27.75,0.83,0,0,0,0,0,0
连衣裙,238.33,3,1429,91,63.68,30.33,0.21,0,0,0,0,0,0
裤子,177.74,1,582,40,68.73,40,0.17,0,0,0,0,0,0
小背心/小吊带,104.2,4,2448,144,58.82,36,0.16,1,0,0,0,0,0
中老年女装,187.03,4,1997,112,56.08,28,0.2,0,0,0,0,0,0
T恤,118.1,18,3683,550,149.33,30.56,0.49,0,0,0,0,0,0
毛针织衫,95.36,1,810,18,22.22,18,0.12,0,0,0,0,0,0
裤子,218.52,0,375,0,0,0,0,0,0,0,0,0,0
连衣裙,191.22,0,180,0,0,0,0,0,0,0,0,0,0
职业套装/学生校服/工作制服,267.63,1,448,8,17.86,8,0.22,0,0,0,0,0,0
职业套装/学生校服/工作制服,127.82,0,98,0,0,0,0,0,0,0,0,0,0
连衣裙,185.82,0,263,0,0,0,0,0,0,0,0,0,0
蕾丝衫/雪纺衫,281.28,11,1167,198,169.67,18,0.94,0,0,0,0,0,0
连衣裙,593.8,0,442,0,0,0,0,0,0,0,0,0,0
裤子,135.54,0,123,0,0,0,0,0,0,0,0,0,0
连衣裙,752.45,0,55,0,0,0,0,0,0,0,0,0,0
连衣裙,408.88,0,340,0,0,0,0,0,0,0,0,0,0
连衣裙,188.22,2,439,40,91.12,20,0.46,0,0,0,0,0,0
连衣裙,540.33,0,258,0,0,0,0,0,0,0,0,0,0
连衣裙,511.34,0,159,0,0,0,0,0,0,0,0,0,0
连衣裙,342.2,0,193,0,0,0,0,0,0,0,0,0,0
T恤,178.53,2,759,36,47.43,18,0.26,0,0,0,0,0,0
连衣裙,1245.77,0,739,0,0,0,0,0,0,0,0,0,0
连衣裙,456.92,0,253,0,0,0,0,0,0,0,0,0,0
风衣,177.28,0,962,0,0,0,0,0,0,0,0,0,0
连衣裙,252.38,0,224,0,0,0,0,0,0,0,0,0,0
职业套装/学生校服/工作制服,285.13,0,560,0,0,0,0,0,0,0,0,0,0
衬衫,337.06,12,2202,189,85.83,15.75,0.54,0,0,0,0,0,0
职业套装/学生校服/工作制服,215.96,1,112,24,214.29,24,0.89,0,0,0,0,0,0
连衣裙,550.06,0,126,0,0,0,0,0,0,0,0,0,0
裤子,149.74,0,333,0,0,0,0,0,0,0,0,0,0
连衣裙,443.69,0,98,0,0,0,0,0,0,0,0,0,0
蕾丝衫/雪纺衫,307.92,4,1250,69,55.2,17.25,0.32,0,0,0,0,0,0
蕾丝衫/雪纺衫,111.01,1,1230,9,7.32,9,0.08,0,0,0,0,0,0
连衣裙,238.13,0,223,0,0,0,0,0,0,0,0,0,0
连衣裙,609.99,0,287,0,0,0,0,0,0,0,0,0,0
连衣裙,209.67,0,49,0,0,0,0,0,0,0,0,0,0
连衣裙,494.95,0,234,0,0,0,0,0,0,0,0,0,0
裤子,231.69,1,434,23,53,23,0.23,0,0,0,0,0,0
裤子,181.48,0,361,0,0,0,0,0,0,0,0,0,0
西装,257.59,1,525,12,22.86,12,0.19,0,0,0,0,0,0
连衣裙,350.34,0,291,0,0,0,0,0,0,0,0,0,0
西装,634.34,1,432,9,20.83,9,0.23,0,0,0,0,0,0
毛针织衫,491.3,1,685,24,35.04,24,0.15,0,0,0,0,0,0
蕾丝衫/雪纺衫,572.16,0,288,0,0,0,0,0,0,0,0,0,0
连衣裙,889.85,0,88,0,0,0,0,0,0,0,0,0,0
毛呢外套,140.32,2,673,33,49.03,16.5,0.3,0,0,0,0,0,0
毛针织衫,505.66,1,633,24,37.91,24,0.16,0,0,0,0,0,0
风衣,229.25,0,324,0,0,0,0,0,0,0,0,0,0
棉衣/棉服,193.36,3,944,42,44.49,14,0.32,0,0,0,0,0,0
衬衫,201.38,0,183,0,0,0,0,0,0,0,0,0,0
毛呢外套,166.69,1,1498,18,12.02,18,0.07,0,0,0,0,0,0
衬衫,171.7,3,1359,72,52.98,24,0.22,0,0,0,0,0,0
蕾丝衫/雪纺衫,24.43,0,7,0,0,0,0,0,0,0,0,0,0
连衣裙,628.34,0,321,0,0,0,0,0,0,0,0,0,0
风衣,171.82,5,1860,106,56.99,21.2,0.27,0,0,0,0,0,0
风衣,144,0,6,0,0,0,0,0,0,0,0,0,0
牛仔裤,169.64,0,343,0,0,0,0,0,0,0,0,0,0
裤子,129.81,2,667,36,53.97,18,0.3,0,0,0,0,0,0
连衣裙,252.73,0,134,0,0,0,0,0,0,0,0,0,0
毛呢外套,164.5,0,517,0,0,0,0,0,0,0,0,0,0
短外套,101.14,1,380,8,21.05,8,0.26,0,0,0,0,0,0
连衣裙,160.29,4,669,19,28.4,4.75,0.6,0,0,0,0,0,0
连衣裙,383.94,1,124,24,193.55,24,0.81,0,0,0,0,0,0
连衣裙,934.71,0,1292,0,0,0,0,0,0,0,0,0,0
蕾丝衫/雪纺衫,339.84,1,495,7,14.14,7,0.2,0,0,0,0,0,0
风衣,183.91,1,614,6,9.77,6,0.16,0,0,0,0,0,0
裤子,242.08,4,1127,45,39.93,11.25,0.35,0,0,0,0,0,0
连衣裙,1185.51,1,354,2,5.65,2,0.28,0,0,0,0,0,0
衬衫,469.77,3,458,36,78.6,12,0.66,0,0,0,0,0,0
裤子,435.48,2,545,18,33.03,9,0.37,0,0,0,0,0,0
毛呢外套,338.86,2,338,26,76.92,13,0.59,0,0,0,0,0,0
毛呢外套,171.51,1,419,12,28.64,12,0.24,0,0,0,0,0,0
风衣,682.99,1,339,6,17.7,6,0.29,0,0,0,0,0,0
风衣,357.79,1,339,5,14.75,5,0.29,0,0,0,0,0,0
毛针织衫,99.02,0,409,0,0,0,0,0,0,0,0,0,0
毛针织衫,470.85,2,317,16,50.47,8,0.63,0,0,0,0,0,0
风衣,154.21,0,175,0,0,0,0,0,0,0,0,0,0
短外套,85.26,0,791,0,0,0,0,0,0,0,0,0,0
衬衫,123.64,1,398,6,15.08,6,0.25,0,0,0,0,0,0
半身裙,451.66,1,344,14,40.7,14,0.29,0,0,0,0,0,0
衬衫,588.81,0,404,0,0,0,0,0,0,0,0,0,0
半身裙,185.82,0,274,0,0,0,0,0,0,0,0,0,0
连衣裙,93.07,1,309,5,16.18,5,0.32,0,0,0,0,0,0
连衣裙,497.02,0,179,0,0,0,0,0,0,0,0,0,0
短外套,341.77,0,351,0,0,0,0,0,0,0,0,0,0
连衣裙,255.9,0,120,0,0,0,0,0,0,0,0,0,0
棉衣/棉服,222.46,0,887,0,0,0,0,0,0,0,0,0,0
连衣裙,1296.69,0,91,0,0,0,0,0,0,0,0,0,0
衬衫,736.27,0,321,0,0,0,0,0,0,0,0,0,0
毛呢外套,122.84,0,158,0,0,0,0,0,0,0,0,0,0
连衣裙,278.41,3,615,36,58.54,12,0.49,0,0,0,0,0,0
风衣,565.33,0,363,0,0,0,0,0,0,0,0,0,0
连衣裙,1254.29,0,52,0,0,0,0,0,0,0,0,0,0
毛呢外套,195.65,0,113,0,0,0,0,0,0,0,0,0,0
风衣,86.83,2,304,23,75.66,11.5,0.66,0,0,0,0,0,0
