中老年女装,181.58,5,823,149,181.04,29.8,0.61,0,0,0,0,0,0
蕾丝衫/雪纺衫,399.44,2,362,26,71.82,13,0.55,0,0,0,0,0,0
毛针织衫,97.9,4,1234,109,88.33,27.25,0.32,0,0,0,0,0,0
连衣裙,132.8,2,1148,66,57.49,33,0.17,0,0,0,0,0,0
毛针织衫,137.33,2,429,61,142.19,30.5,0.47,0,0,0,0,0,0
毛针织衫,180.97,6,704,258,366.48,43,0.85,0,0,0,0,0,0
连衣裙,441.6,8,1071,182,169.93,22.75,0.75,1,0,0,0,0,0
连衣裙,237.96,6,1332,136,102.1,22.67,0.45,0,0,0,0,0,0
裤子,187.33,1,452,21,46.46,21,0.22,0,0,0,0,0,0
小背心/小吊带,142.17,3,1453,105,72.26,35,0.21,0,0,0,0,0,0
中老年女装,221.98,5,1142,186,162.87,37.2,0.44,0,0,0,0,0,0
T恤,121.69,15,2564,402,156.79,26.8,0.59,0,0,0,0,0,0
毛针织衫,151.87,2,521,72,138.2,36,0.38,0,0,0,0,0,0
裤子,170.72,0,387,0,0,0,0,0,0,0,0,0,0
卫衣/绒衫,198.8,0,25,0,0,0,0,0,0,0,0,0,0
裤子,85.86,0,74,0,0,0,0,0,0,0,0,0,0
牛仔裤,245.87,0,52,0,0,0,0,0,0,0,0,0,0
毛衣,280.08,0,62,0,0,0,0,0,0,0,0,0,0
连衣裙,268.61,0,85,0,0,0,0,0,0,0,0,0,0
裤子,155.92,0,60,0,0,0,0,0,0,0,0,0,0
棉衣/棉服,92.52,0,112,0,0,0,0,0,0,0,0,0,0
裤子,68.84,0,55,0,0,0,0,0,0,0,0,0,0
毛针织衫,167.06,0,161,0,0,0,0,0,0,0,0,0,0
风衣,258.74,1,254,25,98.43,25,0.39,0,0,0,0,0,0
T恤,245.73,0,183,0,0,0,0,0,0,0,0,0,0
连衣裙,249.04,0,97,0,0,0,0,0,0,0,0,0,0
半身裙,298.79,0,210,0,0,0,0,0,0,0,0,0,0
棉衣/棉服,96.37,0,131,0,0,0,0,0,0,0,0,0,0
裤子,182.47,0,15,0,0,0,0,0,0,0,0,0,0
毛针织衫,158.53,0,47,0,0,0,0,0,0,0,0,0,0
裤子,129.45,0,65,0,0,0,0,0,0,0,0,0,0
棉衣/棉服,70.19,4,776,102,131.44,25.5,0.52,0,0,0,0,0,0
短外套,389.8,0,118,0,0,0,0,0,0,0,0,0,0
裤子,154.21,0,94,0,0,0,0,0,0,0,0,0,0
牛仔裤,75.21,0,43,0,0,0,0,0,0,0,0,0,0
衬衫,233.45,1,636,24,37.74,24,0.16,0,0,0,0,0,0
棉衣/棉服,88.56,0,115,0,0,0,0,0,0,0,0,0,0
牛仔裤,88.63,0,71,0,0,0,0,0,0,0,0,0,0
裤子,77.3,0,56,0,0,0,0,0,0,0,0,0,0
裤子,155.58,0,60,0,0,0,0,0,0,0,0,0,0
裤子,64.64,0,127,0,0,0,0,0,0,0,0,0,0
棉衣/棉服,85.99,0,90,0,0,0,0,0,0,0,0,0,0
短外套,323.64,1,158,17,107.59,17,0.63,0,0,0,0,0,0
牛仔裤,95.63,0,27,0,0,0,0,0,0,0,0,0,0
裤子,99.27,0,15,0,0,0,0,0,0,0,0,0,0
裤子,95.27,0,125,0,0,0,0,0,0,0,0,0,0
牛仔裤,370.02,0,84,0,0,0,0,0,0,0,0,0,0
牛仔裤,161.48,0,73,0,0,0,0,0,0,0,0,0,0
毛衣,156.11,0,630,0,0,0,0,0,0,0,0,0,0
牛仔裤,156.77,0,35,0,0,0,0,0,0,0,0,0,0
牛仔裤,88.72,0,100,0,0,0,0,0,0,0,0,0,0
衬衫,187.43,2,305,49,160.66,24.5,0.66,0,0,0,0,0,0
风衣,118.95,1,134,9,67.16,9,0.75,0,0,0,0,0,0
棉衣/棉服,121.78,2,716,66,92.18,33,0.28,0,0,0,0,0,0
棉衣/棉服,115.65,1,258,32,124.03,32,0.39,0,0,0,0,0,0
毛针织衫,226.72,0,95,0,0,0,0,0,0,0,0,0,0
牛仔裤,115.19,1,133,29,218.05,29,0.75,0,0,0,0,0,0
羽绒服,113.74,1,413,18,43.58,18,0.24,0,0,0,0,0,0
牛仔裤,149.74,2,65,41,630.77,20.5,3.08,0,0,0,0,0,0
风衣,190.21,0,438,0,0,0,0,0,0,0,0,0,0
裤子,161.85,0,75,0,0,0,0,0,0,0,0,0,0
牛仔裤,237.84,0,25,0,0,0,0,0,0,0,0,0,0
棉衣/棉服,78.27,0,102,0,0,0,0,0,0,0,0,0,0
短外套,78.15,1,92,36,391.3,36,1.09,0,0,0,0,0,0
