中老年女装,165.85,3,666,83,124.62,27.67,0.45,0,0,0,0,0,0
蕾丝衫/雪纺衫,230.01,1,225,7,31.11,7,0.44,0,0,0,0,0,0
毛针织衫,151.94,5,1559,150,96.22,30,0.32,0,0,0,0,0,0
连衣裙,146.53,2,1028,72,70.04,36,0.19,0,0,0,0,0,0
毛针织衫,215.72,4,607,87,143.33,21.75,0.66,0,0,0,0,0,0
毛针织衫,126.35,7,767,236,307.69,33.71,0.91,2,0,0,0,0,0
连衣裙,207.45,4,1042,91,87.33,22.75,0.38,0,0,0,0,0,0
连衣裙,216.72,1,538,48,89.22,48,0.19,1,0,0,0,0,0
裤子,143.79,2,422,76,180.09,38,0.47,0,0,0,0,0,0
小背心/小吊带,83.04,13,3779,231,61.13,17.77,0.34,1,0,0,0,0,0
中老年女装,185.63,7,1576,260,164.97,37.14,0.44,0,0,0,0,0,0
T恤,112.67,14,2517,576,228.84,41.14,0.56,0,0,0,0,0,0
毛针织衫,169.74,3,741,63,85.02,21,0.4,0,0,0,0,0,0
裤子,131.57,3,529,68,128.54,22.67,0.57,0,0,0,0,0,0
连衣裙,417.05,1,63,8,126.98,8,1.59,0,0,0,0,0,0
T恤,473.57,0,669,0,0,0,0,0,0,0,0,0,0
风衣,216.86,6,676,99,146.45,16.5,0.89,0,0,0,0,0,0
毛针织衫,56.88,0,579,0,0,0,0,0,0,0,0,0,0
连衣裙,345.32,0,53,0,0,0,0,0,0,0,0,0,0
连衣裙,629.2,1,463,6,12.96,6,0.22,1,0,0,0,0,0
连衣裙,1025.85,0,72,0,0,0,0,0,0,0,0,0,0
连衣裙,814.28,0,353,0,0,0,0,0,0,0,0,0,0
半身裙,458.41,1,468,8,17.09,8,0.21,0,0,0,0,0,0
蕾丝衫/雪纺衫,281.23,0,1172,0,0,0,0,0,0,0,0,0,0
T恤,198.22,1,1582,4,2.53,4,0.06,0,0,0,0,0,0
连衣裙,871.39,0,66,0,0,0,0,0,0,0,0,0,0
毛针织衫,566.52,0,490,0,0,0,0,0,0,0,0,0,0
连衣裙,305.97,0,188,0,0,0,0,0,0,0,0,0,0
毛呢外套,185.55,1,425,30,70.59,30,0.24,0,0,0,0,0,0
衬衫,510.71,6,1025,107,104.39,17.83,0.59,0,0,0,0,0,0
连衣裙,895.34,1,256,5,19.53,5,0.39,0,0,0,0,0,0
连衣裙,637.55,0,572,0,0,0,0,0,0,0,0,0,0
毛针织衫,125.79,0,318,0,0,0,0,0,0,0,0,0,0
衬衫,66.41,3,1303,21,16.12,7,0.23,0,0,0,0,0,0
西装,339.45,3,874,20,22.88,6.67,0.34,2,0,0,0,0,0
毛针织衫,493.09,0,313,0,0,0,0,0,0,0,0,0,0
